Price,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
4/27/2015,5268.910156,5283.709961,5135.890137,5198.790039,128430000
4/28/2015,5173.379883,5256.790039,5138.299805,5256.790039,146716900
4/29/2015,5039.390137,5202.560059,5034.830078,5176.669922,149347400
4/30/2015,5046.490234,5069.040039,4987.259766,5040.509766,207097200
5/4/2015,5081.970215,5112.859863,5013.529785,5060.5,110373300
5/5/2015,4974.069824,5133.169922,4969.970215,5074.419922,158058300
5/6/2015,4981.589844,5013.209961,4936.339844,4968.140137,169169600
5/7/2015,4967.220215,4981.990234,4874.899902,4945.819824,186569200
5/8/2015,5090.390137,5094.009766,4981.410156,4999.47998,148505400
5/11/2015,5027.870117,5050.919922,5008.890137,5050.919922,105803700
5/12/2015,4974.649902,4992.919922,4922.02002,4988.850098,130251300
5/13/2015,4961.859863,5045.540039,4944.390137,4996.189941,125480600
5/14/2015,5029.310059,5043.689941,4905.700195,4942.490234,106266300
5/15/2015,4993.819824,5066.569824,4965.859863,5049.560059,118689900
5/18/2015,5012.310059,5026.279785,4932.009766,4996.959961,99355700
5/19/2015,5117.299805,5124.5,5040.450195,5040.450195,131121300
5/20/2015,5133.299805,5139.060059,5089.430176,5106.259766,92775200
5/21/2015,5146.700195,5148.870117,5104.209961,5120.879883,76471600
5/22/2015,5142.890137,5155.279785,5121.689941,5147.410156,88052800
5/25/2015,5117.169922,5139.649902,5099.129883,5139.649902,21000700
5/26/2015,5083.540039,5146.029785,5062.470215,5122.870117,106516600
5/27/2015,5182.529785,5193.77002,5086.359863,5105.859863,121961600
5/28/2015,5137.830078,5164.240234,5096.529785,5157.25,94177200
5/29/2015,5007.890137,5144.72998,5006.459961,5137.02002,161991900
6/1/2015,5025.299805,5060.490234,4989.939941,5029.049805,97082300
6/2/2015,5004.459961,5051.680176,4960.720215,5051.680176,121140700
6/3/2015,5034.169922,5088.140137,4991.27002,5016.370117,113879500
6/4/2015,4987.129883,5044.75,4916.450195,5006.189941,129401400
6/5/2015,4920.740234,4966.450195,4894.169922,4951.799805,117606600
6/8/2015,4857.660156,4917.52002,4857.660156,4906.169922,100424300
6/9/2015,4850.220215,4868.419922,4783.919922,4849.120117,137312600
6/10/2015,4934.910156,4956.740234,4811.540039,4831.029785,125031000
6/11/2015,4971.370117,5022.100098,4917.919922,4926.77002,133827300
6/12/2015,4901.189941,4973.069824,4852.359863,4962.220215,118044300
6/15/2015,4815.359863,4871.069824,4805.100098,4844.950195,106993300
6/16/2015,4839.859863,4857.629883,4748.930176,4778.209961,122656600
6/17/2015,4790.620117,4858.049805,4773.189941,4845.72998,108775800
6/18/2015,4803.47998,4805.009766,4712.970215,4777.910156,135723200
6/19/2015,4815.370117,4870.52002,4799.27002,4807.580078,183933200
6/22/2015,4998.609863,5010.390137,4911.859863,4926.629883,170982500
